roomId,photo
room_0_3ff5b9bb89f342a58cb67ba276e6d905,31573533_06
room_0_3ff5b9bb89f342a58cb67ba276e6d905,31573533_09
room_1_8c34dedc5c8b44a3a2388f426b8b917c,31573533_04
room_2_9219cc02074e423982c75f3c97cd1b38,31573533_10
room_3_ae5e86f115614dd688bafdd13c3dd5b2,31573533_02
room_4_38724c15751b40ef913ff685ffad8328,31573533_08
room_5_13548ca353304d2f8ac10ec4b531a0e4,31573533_00
room_5_13548ca353304d2f8ac10ec4b531a0e4,31573533_01
room_5_13548ca353304d2f8ac10ec4b531a0e4,31573533_05
room_5_13548ca353304d2f8ac10ec4b531a0e4,31573533_07
