roomId,photo
room_0_4668f1a775e440419b85c36cde3ea072,31883034_01
room_0_4668f1a775e440419b85c36cde3ea072,31883034_05
room_0_4668f1a775e440419b85c36cde3ea072,31883034_02
room_0_4668f1a775e440419b85c36cde3ea072,31883034_03
room_0_4668f1a775e440419b85c36cde3ea072,31883034_04
room_2_b3caff45db5940988e8f60a9394390a1,31883034_06
room_2_b3caff45db5940988e8f60a9394390a1,31883034_08
room_3_61991c75568746cf895469d44fcc92b6,31883034_07
room_4_452e367ad5b74e459005f36cc8e14cb1,31883034_09
room_10_bc2528a999914c3db6d1cf958c2cc7e9,31883034_10
room_11_2635729eab654909afbb9bcc42c1d548,31883034_00
