roomId,photo
room_0_f0384c6ce8094195844cce794d618e0a,45765448_04
room_1_affec4f5dd654775a195b1c12147106b,45765448_06
room_2_c5b2489401034ad49c1e3b72171593c3,45765448_02
room_3_2d1c68f71768469eb4e95759451671fc,45765448_07
room_3_2d1c68f71768469eb4e95759451671fc,45765448_09
room_5_ac6685f97f4b48679b254feaac0bcc73,45765448_00
room_5_ac6685f97f4b48679b254feaac0bcc73,45765448_01
room_6_f63310f2b8cd47e1b1772bc5d7fdd19a,45765448_05
room_7_cb733e17ff0840619f020a2376ee588c,45765448_03
room_8_d3377b9a28674a338afa1cdb4b4308ed,45765448_08
