roomId,photo
room_0_fa165bf92fb145dcb9a70659d327631e,31826949_08
room_0_fa165bf92fb145dcb9a70659d327631e,31826949_09
room_1_f18993c179ce4e788c74e6c7422f87af,31826949_10
room_1_f18993c179ce4e788c74e6c7422f87af,31826949_11
room_2_9e9b45a44a9441d2ae585a7d93b37d58,31826949_01
room_2_9e9b45a44a9441d2ae585a7d93b37d58,31826949_04
room_2_9e9b45a44a9441d2ae585a7d93b37d58,31826949_02
room_2_9e9b45a44a9441d2ae585a7d93b37d58,31826949_03
room_2_9e9b45a44a9441d2ae585a7d93b37d58,31826949_05
room_2_9e9b45a44a9441d2ae585a7d93b37d58,31826949_06
room_2_9e9b45a44a9441d2ae585a7d93b37d58,31826949_07
