roomId,photo
room_0_d0260008324049d68bf4f8e805ac2307,31835886_04
room_1_9a94e75cd14f4bc0ae4441845871f772,31835886_05
room_3_7046700ffca84fc8a92f4571b3d80191,31835886_11
room_3_7046700ffca84fc8a92f4571b3d80191,31835886_02
room_5_f256168811614e7b9c32cf3bcb6bd835,31835886_10
room_6_cb51a8d8298b455bb49a0d419c4a91eb,31835886_12
room_6_cb51a8d8298b455bb49a0d419c4a91eb,31835886_00
room_6_cb51a8d8298b455bb49a0d419c4a91eb,31835886_06
room_6_cb51a8d8298b455bb49a0d419c4a91eb,31835886_08
room_7_8d3aaaa9b61040dd9af0c8faaacdcb3a,31835886_03
room_10_399402f9ca7c48818deaf29c54689ebd,31835886_09
