roomId,photo
room_1_ee1daf9af5364bbf8c5ba0c3223c1814,31318404_07
room_2_624695e675754401bba3cc7784a5f43a,31318404_08
room_3_e74e4387b62c441eb76fbb2b6a3f8e7b,31318404_09
room_4_b3b4595e128e4c45b3eabe5a0d04ebf8,31318404_00
room_4_b3b4595e128e4c45b3eabe5a0d04ebf8,31318404_01
room_4_b3b4595e128e4c45b3eabe5a0d04ebf8,31318404_02
room_5_45be1fa0c0c140deab501c23064bf862,31318404_04
room_5_45be1fa0c0c140deab501c23064bf862,31318404_03
room_6_315cb0f4fe6a48f4b7c32eb82feadb97,31318404_05
room_6_315cb0f4fe6a48f4b7c32eb82feadb97,31318404_06
room_14_466d1c4af88a42569a472082e3123ed6,31318404_10
