roomId,photo
room_0_df3b86c6d12d4300adad02399e1ad30e,45775354_03
room_1_5d3454d588594e75b4eadbea6838efee,45775354_07
room_3_a326cc60953f4d1d86de5bf7c30acc6e,45775354_00
room_3_a326cc60953f4d1d86de5bf7c30acc6e,45775354_01
room_3_a326cc60953f4d1d86de5bf7c30acc6e,45775354_10
room_3_a326cc60953f4d1d86de5bf7c30acc6e,45775354_02
room_3_a326cc60953f4d1d86de5bf7c30acc6e,45775354_08
room_4_e2b580d11bfe4e41a0a053f43e38473e,45775354_04
room_5_f94c88d97b3d476c81e4c8caf3199e2c,45775354_09
room_6_09079b2292304ae898baa1beda213d81,45775354_06
